source	interaction	target
ZIC1	upregulates-expression	APOE
ZIC2	upregulates-expression	APOE
ATF2	upregulates-expression	PCK1
WT1	upregulates-expression	VDR
SP1	upregulates-expression	IL1A
FOXA1	upregulates-expression	SFTPB
HES1	downregulates-expression	ASCL1
REL	upregulates-expression	F3
NFKB1	upregulates-expression	MMP9
NFKB1	upregulates-expression	NFKBIA
RELA	upregulates-expression	MMP9
RELA	upregulates-expression	NFKBIA
SP1	upregulates-expression	MMP9
TBX2	downregulates-expression	CDKN2A
WT1	downregulates-expression	EGFR
SP3	upregulates-expression	ALPL
MITF	upregulates-expression	KIT
MYF6	upregulates-expression	ACACB
NFKB1	upregulates-expression	PTGS2
RELA	upregulates-expression	PTGS2
USF1	upregulates-expression	HOXB4
USF2	upregulates-expression	HOXB4
IRF1	upregulates-expression	HLA-G
ESR1	upregulates-expression	AVP
CREB1	upregulates-expression	PTGS2
GATA3	upregulates-expression	IL4
TFAP2C	upregulates-expression	CSTA
MYB	upregulates-expression	RAG2
TP53	upregulates-expression	PPM1D
PRDM1	downregulates-expression	CIITA
MYC	upregulates-expression	BAX
TP53	upregulates-expression	FAS
ATF1	upregulates-expression	TH
SREBF2	upregulates-expression	FDFT1
SP1	upregulates-expression	CXCL1
NFKB1	upregulates-expression	CFTR
RELA	upregulates-expression	CFTR
RELA	upregulates-expression	IL1B
SPI1	upregulates-expression	PTPRC
AHR	upregulates-expression	MYC
RELA	upregulates-expression	MYC
MYB	upregulates-expression	MAT2A
CREB1	upregulates-expression	PSEN1
CREB1	upregulates-expression	REN
SP1	upregulates-expression	TP53
NFE2L2	upregulates-expression	GCLC
USF1	upregulates-expression	S100A6
HIF1A	upregulates-expression	SLC2A1
STAT3	upregulates-expression	BCL6
TP53	upregulates-expression	HRAS
TP53	downregulates-expression	NOS2
STAT1	upregulates-expression	COL1A2
CREB1	upregulates-expression	TRH
JUN	upregulates-expression	IL1B
ESR1	upregulates-expression	TGFA
TFAP2A	upregulates-expression	DBH
TFAP2A	upregulates-expression	TH
NR1H3	upregulates-expression	APOE
NR1H3	upregulates-expression	ABCG1
TP53	downregulates-expression	CHEK1
NKX2-1	upregulates-expression	SFTPB
E2F4	downregulates-expression	DHFR
TFDP1	upregulates-expression	DHFR
ETV4	upregulates-expression	MMP7
STAT3	upregulates-expression	MCL1
SP1	upregulates-expression	CCND2
REL	downregulates-expression	IL6
REL	upregulates-expression	CRP
CEBPB	upregulates-expression	IGF2
SP1	upregulates-expression	IGF2
ESR1	upregulates-expression	CTSD
SP1	upregulates-expression	CTSD
GATA2	downregulates-expression	EPO
ESR1	upregulates-expression	HSPB1
CREB1	upregulates-expression	NF1
ETV4	downregulates-expression	ERBB2
CREB1	downregulates-expression	PLAT
ATF2	upregulates-expression	PLAT
HNF1A	upregulates-expression	UGT2B17
