Dataset	TF	Method	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
ReplogleWeissman2022_K562_gwps	NFKB1	ulm	318	74615	11731245.0	0.49441409297285815	0.5055859070271418	0.004369364202688093	0.00424379112006726	1.0295898358491409	0.3653005535508521	0.7602413715539595	False	-0.010199413735188734	1.00703482984985
ReplogleWeissman2022_K562_gwps	MLXIPL	ulm	288	74615	10626099.0	0.4944873964126963	0.5055126035873038	0.00414930275932942	0.003844972831528777	1.0791500853543456	0.3731785852871548	0.7602413715539595	False	-0.026417513365645295	0.9856981929866306
ReplogleWeissman2022_K562_gwps	CREB1	ulm	196	74615	7219838.0	0.49367966445440337	0.5063203355455966	0.0026210810384179467	0.002619935570972183	1.0004372120667604	0.37975873881056044	0.7602413715539595	False	0.0071458659668848235	0.9682191257616513
ReplogleWeissman2022_K562_gwps	MYBL2	ulm	62	74615	2262029.0	0.48896788460332935	0.5110321153966706	0.001013679336178129	0.0008302422432609772	1.2209440610931312	0.381788809840624	0.7602413715539595	False	-0.07123210761858001	0.9628876770759407
ReplogleWeissman2022_K562_gwps	NR1I2	ulm	133	74615	4890865.0	0.49284220401570167	0.5071577959842983	0.0019148272888172488	0.0017793118210520683	1.0761617307106144	0.3875557562904979	0.7602413715539595	False	-0.003760231600161642	0.947895553338221
ReplogleWeissman2022_K562_gwps	CCNH	ulm	87	74615	3188739.0	0.4912172138818348	0.5087827861181651	0.0014127935802237934	0.0011646274530802388	1.2130862762054921	0.3883543216475087	0.7602413715539595	False	-0.017833040450838722	0.9458371559499743
ReplogleWeissman2022_K562_gwps	CDC6	ulm	116	74615	4262608.0	0.492483022041884	0.507516977958116	0.001626287515032425	0.001552234012658736	1.0477076921197255	0.3896493627580898	0.7602413715539595	False	-0.016856514622358987	0.942508014115206
ReplogleWeissman2022_K562_gwps	CDK12	ulm	54	74615	1970317.0	0.48900826712928835	0.5109917328707115	0.0007826846966778721	0.000723191685974099	1.0822645114118525	0.38985475463630465	0.7602413715539595	False	-0.011881260132766497	0.9419810332349648
ReplogleWeissman2022_K562_gwps	NFATC2	ulm	278	74615	10271183.0	0.49516453044091563	0.5048354695590844	0.0037707029638749615	0.0037119623996902246	1.0158246657319694	0.39021238539937747	0.7602413715539595	False	-0.014777749511797333	0.9410641101400812
ReplogleWeissman2022_K562_gwps	HES1	ulm	239	74615	8837915.0	0.4955936989797277	0.5044063010202723	0.0033550688363772267	0.003192882143906805	1.0507963291974098	0.40687398873777963	0.7818094998627368	False	-0.01892395783063061	0.8992517514594928
