Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	ELL	z-aggregate	0.5494612609406092	0.021222640678995406	True	5149	226	4923	viper	0.5464803999288153	0.031448713541475735	True	0.002980861011793956	0.499683771404599	0.6172977613000928	0.8072355340078138	False
NadigOConner2024_jurkat	ACTL6A	ulm	0.9316518934839545	6.228879601677207e-05	True	11930	9	11921	zscore	0.9316518934839545	6.228879601677207e-05	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_jurkat	MYC	ulm	0.9226173759861114	2.133934608123351e-53	True	12036	115	11921	z-aggregate	0.9109696808336039	1.6700022656796948e-50	True	0.01164769515250752	3.093598756401769	0.0019774472730367484	0.019115323639355235	True
NadigOConner2024_jurkat	MAX	ulm	0.8834156000688745	1.7283650287080135e-29	True	11997	76	11921	viper	0.8763769376465238	3.9708972385561763e-28	True	0.007038662422350739	0.9826160331859648	0.3257964503672055	0.8068984517753035	False
NadigOConner2024_jurkat	TRRAP	ulm	0.8812995074718084	8.596926759802481e-14	True	11956	35	11921	zscore	0.8812995074718084	8.596926759802481e-14	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_jurkat	NRF1	ulm	0.7334613365147716	4.309377605448257e-12	True	12002	81	11921	zscore	0.7334613365147716	4.309377605448257e-12	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_jurkat	LIN52	zscore	0.6837713358978353	0.018922631661768493	True	11942	21	11921	z-aggregate	0.5913693721763514	0.20196339529945775	False	0.0924019637214839	3.7830773824331985	0.0001549012301843043	0.00225241603541283	True
NadigOConner2024_jurkat	MYB	ulm	0.6744723274376827	0.07702686998619364	True	11934	13	11921	zscore	0.660244042510631	0.10013036418827628	False	0.014228284927051749	1.1765432099032125	0.23937787613130157	0.7713287119786384	False
NadigOConner2024_jurkat	CDK12	viper	0.6659699503210953	0.003476708443580192	True	11957	36	11921	ulm	0.661593919227507	0.004845794157890004	True	0.004376031093588306	0.39533848865137583	0.6925930981528803	1.0	False
NadigOConner2024_jurkat	CDK7	z-aggregate	0.664242722925929	0.051349595942093304	True	11937	16	11921	viper	0.6640697089170371	0.05454390874562475	True	0.0001730140088919141	0.014342472486612485	0.9885567549655503	1.0	False
NadigOConner2024_jurkat	SSRP1	z-aggregate	0.6489610524186187	0.07120297817291037	True	11938	17	11921	ulm	0.6317126968227103	0.11112476171866074	False	0.017248355595908427	0.9663101381812429	0.3338890145277118	0.8068984517753035	False
NadigOConner2024_jurkat	NFYB	viper	0.6460600468234057	0.04436473860982612	True	11943	22	11921	ulm	0.6323943232340179	0.07702686998619364	True	0.01366572358938778	0.8754887003245037	0.3813080558280775	0.8221148564516225	False
NadigOConner2024_jurkat	GTF2H1	z-aggregate	0.6377182392781463	0.007105715370536108	True	11967	46	11921	viper	0.6236163438287567	0.014770796499018751	True	0.014101895449389557	1.3412016554822535	0.17985498903977737	0.651974335269193	False
NadigOConner2024_jurkat	KAT5	ulm	0.631263662247048	0.03446425855774224	True	11955	34	11921	z-aggregate	0.6273284416526446	0.028987322840464274	True	0.003935220594403432	0.2594613384549321	0.7952793082730488	1.0	False
NadigOConner2024_jurkat	SUPT5H	z-aggregate	0.6300058719906048	0.010871619010521508	True	11966	45	11921	viper	0.6284222986513063	0.01367845203227942	True	0.001583573339298483	0.11189142509944161	0.9109094956871104	1.0	False
NadigOConner2024_jurkat	NFYC	ulm	0.6275438302155859	0.09557898399790009	True	11941	20	11921	zscore	0.6275438302155859	0.10013036418827628	False	0.0	0.0	1.0	1.0	False
NadigOConner2024_jurkat	HSF1	ulm	0.6272465606912172	0.046828942720083026	True	11953	32	11921	zscore	0.6163912423454408	0.0743730116164995	True	0.010855318345776355	2.007703229070324	0.04467483730255235	0.2591140563548036	False
NadigOConner2024_jurkat	CCNH	viper	0.6023224924218441	6.0297880838320425e-06	True	12120	199	11921	z-aggregate	0.5893063168371006	0.00010658639115269732	True	0.01301617558474355	2.5121096491911823	0.012001179327596498	0.08700855012507461	True
NadigOConner2024_jurkat	POLR2F	viper	0.5916470422149066	0.08587896122445003	True	11962	41	11921	z-aggregate	0.5686767152043637	0.19482328876241495	False	0.022970327010542912	1.5522605484922731	0.12059989357069043	0.49962813050714605	False
NadigOConner2024_jurkat	MNAT1	viper	0.5815032946224141	0.007574965071952159	True	12050	129	11921	z-aggregate	0.5764669084392144	0.010871619010521508	True	0.0050363861831996815	0.8133161371934645	0.4160368272679348	0.8221148564516225	False
NadigOConner2024_jurkat	NELFA	z-aggregate	0.5791229762603808	0.010871619010521508	True	12041	120	11921	viper	0.5766078069513183	0.014770796499018751	True	0.0025151693090624816	0.3842452439655289	0.700796687515084	1.0	False
NadigOConner2024_jurkat	GABPA	z-aggregate	0.5771271985012443	0.012718219474425044	True	12041	120	11921	ulm	0.5289971478902776	0.34200044708944344	False	0.048130050610966646	3.7823751093697573	0.00015533903692502274	0.00225241603541283	True
NadigOConner2024_jurkat	ELL	viper	0.5741256751877396	0.038740439130486914	True	12013	92	11921	z-aggregate	0.5725359522654577	0.040903306349645153	True	0.0015897229222818776	0.19825510661795817	0.8428454741923137	1.0	False
NadigOConner2024_jurkat	HDAC3	ulm	0.573778066716998	0.026289637243985	True	12041	120	11921	viper	0.5646925593490479	0.038740439130486914	True	0.009085507367950107	0.7645926110755333	0.4445141704073675	0.8221148564516225	False
NadigOConner2024_jurkat	POLR2I	viper	0.5709858014537736	0.028389598021779882	True	12036	115	11921	z-aggregate	0.5655748168194235	0.04075069913698576	True	0.005410984634350191	0.7494589852207304	0.45358061045606757	0.8221148564516225	False
NadigOConner2024_jurkat	TGS1	z-aggregate	0.5655666579875958	0.016683614053295832	True	12075	154	11921	ulm	0.5501439672650141	0.07702686998619364	True	0.015422690722581622	1.7967235624980276	0.07237951637845234	0.34983432916251966	False
NadigOConner2024_jurkat	GTF2F2	viper	0.5620969114632495	0.06650403276269978	True	12024	103	11921	z-aggregate	0.5566720391444323	0.09410255764659724	True	0.005424872318817164	0.7018106459920059	0.48279725868869505	0.8235953236454211	False
NadigOConner2024_jurkat	ATR	z-aggregate	0.5589495927554815	0.051349595942093304	True	12047	126	11921	viper	0.5511402447062206	0.08855589421858706	True	0.007809348049260922	1.0696776610611949	0.2847644248948211	0.8068984517753035	False
NadigOConner2024_jurkat	NELFCD	viper	0.5559675093738179	0.08855589421858706	True	12027	106	11921	z-aggregate	0.5555148437908052	0.09410255764659724	True	0.0004526655830127124	0.06100514464534079	0.9513551118546394	1.0	False
NadigOConner2024_jurkat	CCNK	viper	0.5509148306520033	0.02541756052691914	True	12158	237	11921	z-aggregate	0.5486308068200039	0.028987322840464274	True	0.0022840238319994377	0.48886762182135646	0.6249354198264124	1.0	False
