Dataset	TF	Top_Weight	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Weight	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_hepg2	GTF2F2	NONZERORATE	0.5976139210508498	0.007801418967042357	True	4998	75	4923	UNIFORM	0.5933834382828899	0.010579653266321733	True	0.004230482767959898	0.7598089354270177	0.4473688010240855	0.5921057660612896	False
NadigOConner2024_hepg2	NELFE	CORRELATION	0.595880259703132	0.02221847229738112	True	4977	54	4923	UNIFORM	0.580875106266128	0.06077435742243857	True	0.015005153437003926	1.2203199248281327	0.2223436194382299	0.41689428644668103	False
NadigOConner2024_hepg2	NELFB	CORRELATION	0.595835682596092	0.001249972776141572	True	5030	107	4923	UNIFORM	0.5829171104162988	0.006696810956741343	True	0.012918572179793197	1.5006877354299044	0.13343634673034102	0.28593502870787363	False
NadigOConner2024_hepg2	TGS1	NONZERORATE	0.5914340096749197	0.0343924305300174	True	4977	54	4923	UNIFORM	0.5611603885014407	0.14396452153520412	False	0.030273621173478982	2.070885082724684	0.038369536534872094	0.11510860960461629	False
NadigOConner2024_hepg2	MCM5	CORRELATION	0.5827654977563571	0.06547961515872058	True	4967	44	4923	UNIFORM	0.5641608036489206	0.15143483218285983	False	0.01860469410743648	0.7010441549264691	0.48327545984732745	0.6213541626608495	False
NadigOConner2024_hepg2	SUPT16H	CORRELATION	0.5787576961062431	0.048721127165606296	True	4981	58	4923	UNIFORM	0.5567533113394553	0.14975706885365453	False	0.022004384766787788	2.27908797697518	0.0226618360760334	0.07844481718626947	True
NadigOConner2024_hepg2	CHEK1	CORRELATION	0.5755459472705055	0.048721127165606296	True	4986	63	4923	UNIFORM	0.5000467517225592	0.6611133781044023	False	0.07549919554794626	3.2953381163067754	0.0009830332356429567	0.011059123900983263	True
NadigOConner2024_hepg2	SP1	NONZERORATE	0.5740323052937313	0.0391634635816334	True	5000	77	4923	UNIFORM	0.5599294063645069	0.0964102251713083	True	0.014102898929224339	1.2274991191452507	0.21963505268299388	0.41689428644668103	False
NadigOConner2024_hepg2	NFYB	NONZERORATE	0.5728116845575713	0.020478559848993258	True	5027	104	4923	UNIFORM	0.5628720761261895	0.04494838658622052	True	0.009939608431381752	1.3134934730337067	0.18901671883789561	0.3866251067138774	False
NadigOConner2024_hepg2	CDK9	NONZERORATE	0.5711625702484935	0.07057445982902105	True	4986	63	4923	UNIFORM	0.5695214235738306	0.08258454355760486	True	0.0016411466746628633	0.28665404061172617	0.7743772315639689	0.871174385509465	False
NadigOConner2024_hepg2	ZBTB17	UNIFORM	0.5630872923334309	0.025068174319809264	True	5050	127	4923	NONZERORATE	0.5566351738025433	0.0421782705787698	True	0.006452118530887563	0.5756574258606808	0.5648467574256213	0.700175834818366	False
NadigOConner2024_hepg2	CCNK	CORRELATION	0.5604087899894941	0.05369001869121878	True	5016	93	4923	NONZERORATE	0.529937379733924	0.31777060857237044	False	0.030471410255570097	1.572413331385941	0.11585472451027655	0.28593502870787363	False
NadigOConner2024_hepg2	ELL	SPECIFICITY	0.5509002353051147	0.017910734032772657	True	5149	226	4923	UNIFORM	0.5494612609406092	0.021222640678995406	True	0.0014389743645054631	0.14066561988305057	0.8881341063430556	0.9489507946438527	False
NadigOConner2024_jurkat	MYC	NONZERORATE	0.9338959745863165	2.8242599837385406e-56	True	12036	115	11921	CORRELATION	0.9303815335013477	2.108909402387392e-55	True	0.003514441084968789	0.4066679153988139	0.6842519084789087	0.8268043894120147	False
NadigOConner2024_jurkat	ACTL6A	UNIFORM	0.9268238123199956	7.870749788839351e-05	True	11930	9	11921	CORRELATION	0.919190224533736	0.00013171697171407846	True	0.007633587786259555	1.6690714266178468	0.0951032252192383	0.2915578771701514	False
NadigOConner2024_jurkat	MAX	NONZERORATE	0.8982258199815452	8.781625608351597e-32	True	11997	76	11921	UNIFORM	0.8710789010106005	1.2109570180635564e-27	True	0.027146918970944678	3.634416121800448	0.00027861087851132135	0.00807971547682832	True
NadigOConner2024_jurkat	TRRAP	SPECIFICITY	0.8982252207988304	3.903030078675054e-15	True	11956	35	11921	NONZERORATE	0.8981437319496207	5.276278873821926e-15	True	8.148884920966548e-05	0.008485739869964799	0.9932294404263586	0.9932294404263586	False
NadigOConner2024_jurkat	NRF1	SPECIFICITY	0.7694523928620621	8.029709833127335e-16	True	12002	81	11921	NONZERORATE	0.7512554357338072	6.244808517509981e-14	True	0.018196957128254976	1.0143520609173529	0.31041479052946896	0.5656817055228216	False
NadigOConner2024_jurkat	POLR2H	CORRELATION	0.768262858691514	0.003982238390565217	True	11934	13	11921	UNIFORM	0.5989623999019185	0.27091037338185103	False	0.16930045878959554	2.8537483134381376	0.004320674684570004	0.06264978292626507	True
NadigOConner2024_jurkat	CDK7	CORRELATION	0.7382350473953527	0.003982238390565217	True	11937	16	11921	SPECIFICITY	0.677265959231608	0.042829441147195925	True	0.06096908816374469	2.2499756354043456	0.02445049200005027	0.16240769611168876	False
NadigOConner2024_jurkat	MYB	NONZERORATE	0.7381608409206765	0.008359914322004412	True	11934	13	11921	UNIFORM	0.6369625676730786	0.14847209892415242	False	0.10119827324759789	2.0911359184921205	0.036515881712402436	0.17649342827661177	False
NadigOConner2024_jurkat	POLR2F	CORRELATION	0.6678090109480911	0.0013987063015365676	True	11962	41	11921	NONZERORATE	0.5812186324195261	0.12261240692686116	False	0.08659037852856499	1.5100471661625603	0.13103138941003287	0.3166591910742461	False
