Dataset	TF	Weight	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
NadigOConner2024_hepg2	CCNH	UNIFORM	96	4923	212829.0	0.45032881373146455	0.5496711862685355	0.02428445811212851	0.019127316198445904	1.2696218256747187	0.04741363752183867	0.11533046964771569	False	-0.20644752087324852	3.0488453802309077
NadigOConner2024_hepg2	DNMT1	UNIFORM	82	4923	180562.0	0.4472832845330281	0.5527167154669719	0.021704932525905385	0.016383616383616385	1.3247949669775176	0.05051776338139191	0.11964733432434926	False	-0.22968007697758372	2.985430254423823
NadigOConner2024_hepg2	GTF2H4	UNIFORM	49	4923	104943.0	0.43503836635202525	0.5649616336479748	0.013147641952227822	0.009855189058728881	1.3340831793158516	0.05842314101562626	0.13482263311298368	False	-0.42372097985651036	2.8400432173667873
NadigOConner2024_hepg2	TGS1	UNIFORM	54	4923	116662.0	0.43883961149855927	0.5611603885014407	0.02042280513320936	0.0108499095840868	1.8823018731107959	0.06078502020375284	0.1367662954584439	False	-0.6104604908290575	2.800411898593867
NadigOConner2024_hepg2	SUPT16H	UNIFORM	58	4923	126562.0	0.4432466886605448	0.5567533113394553	0.013781142082560838	0.011644248142943184	1.1835149778144056	0.06822266469999817	0.14975706885365453	False	-0.32137006769605103	2.684978442361655
NadigOConner2024_hepg2	MNAT1	UNIFORM	68	4923	152539.0	0.45566130169313307	0.5443386983068669	0.01620726902343589	0.013624524143458225	1.18956587788189	0.10411263178558977	0.22309849668340664	False	-0.33946214982228295	2.2622819679216017
NadigOConner2024_hepg2	SSRP1	UNIFORM	7	4923	12750.0	0.36998345956298423	0.6300165404370157	0.0024357677350327713	0.0014198782961460446	1.7154764191016518	0.11692020881550086	0.24471671612546692	False	-0.8264983479887464	2.1462635527716407
NadigOConner2024_hepg2	MED1	UNIFORM	11	4923	21564.0	0.398205085590826	0.6017949144091741	0.0034117750420948403	0.0022294284556141062	1.5303361870632675	0.12140221615830832	0.24770840426680435	False	-0.49461403808005155	2.108646145512583
NadigOConner2024_hepg2	ELOB	UNIFORM	64	4923	144414.0	0.45835237659963435	0.5416476234003657	0.015228265661126339	0.012833366753559254	1.186615013313079	0.12564152793365274	0.24770840426680435	False	-0.3485062128561262	2.0743224431817797
NadigOConner2024_hepg2	SP1	UNIFORM	77	4923	175174.0	0.46211395754357365	0.5378860424564263	0.019624012653213282	0.0154	1.2742865359229403	0.12660651773636666	0.24770840426680435	False	-0.33390445439019606	2.0666712876875715
NadigOConner2024_hepg2	FOXO1	UNIFORM	44	4923	98383.0	0.4541899802411685	0.5458100197588315	0.01263106718064975	0.008858465874773505	1.4258752428701662	0.14736466592993958	0.28218765816371405	False	-0.03725525746059144	1.914845043499629
NadigOConner2024_hepg2	NF1	UNIFORM	24	4923	52361.0	0.44316642968379716	0.5568335703162028	0.006044027474494278	0.004851425106124924	1.245825163180133	0.16802820668791052	0.31164048616007023	False	-0.19546220892166466	1.7836234167201457
NadigOConner2024_hepg2	HMGA1	UNIFORM	47	4923	106337.0	0.4595753324603144	0.5404246675396855	0.01031841916909528	0.009456740442655936	1.0911179419234796	0.169670931353816	0.31164048616007023	False	-0.20618374958834884	1.7738944157349754
NadigOConner2024_hepg2	ACTL6A	UNIFORM	9	4923	18303.0	0.4130949962759835	0.5869050037240164	0.004994157644111984	0.0018248175182481751	2.7367983889733676	0.1834991496004067	0.33029846928073203	False	-0.7360444775183391	1.6955452458284594
NadigOConner2024_hepg2	GTF2F1	UNIFORM	18	4923	39005.0	0.44016746789446365	0.5598325321055364	0.004307746436520736	0.0036429872495446266	1.1824763968249419	0.18995160417992313	0.3352087132586879	False	-0.5882439635582584	1.660985954109496
NadigOConner2024_hepg2	E2F6	UNIFORM	56	4923	129013.0	0.4679674124372479	0.5320325875627522	0.015689405149303382	0.011247238401285399	1.3949562185425275	0.2045248338384298	0.3539852893357439	False	-0.21764358498563474	1.5870658740094021
NadigOConner2024_hepg2	CCNK	UNIFORM	93	4923	217709.0	0.47551431835208446	0.5244856816479155	0.022706775802177583	0.01854066985645933	1.2247009400400297	0.2087615188277498	0.35450069234900905	False	-0.1000810886719477	1.5665627367603605
NadigOConner2024_hepg2	GABPA	UNIFORM	82	4923	191550.5	0.4745036984190683	0.5254963015809317	0.01746350775658748	0.016383616383616385	1.065912881972199	0.2138622843506049	0.3564371405843415	False	-0.06944310848233937	1.542423002187224
NadigOConner2024_hepg2	GATA1	UNIFORM	20	4923	44548.0	0.4524476944952265	0.5475523055047735	0.006543360829521496	0.004046125834513453	1.6171916290162378	0.23115986868262378	0.3782616032988389	False	-0.2975689182116456	1.464645735612736
NadigOConner2024_hepg2	BRCA1	UNIFORM	47	4923	108738.0	0.46995215683223773	0.5300478431677622	0.010552256061535668	0.009456740442655936	1.115844949485793	0.2388235241161245	0.3838235209009144	False	-0.14543303370181881	1.432030392616438
NadigOConner2024_hepg2	ERCC2	UNIFORM	56	4923	130427.0	0.47309639882766025	0.5269036011723398	0.01284107863917006	0.011247238401285399	1.141709474007638	0.24403820382090924	0.38532347971722514	False	0.05620997080370749	1.4104304929087004
NadigOConner2024_hepg2	TNRC6A	UNIFORM	87	4923	205747.0	0.48037945276802996	0.51962054723197	0.020779960084953912	0.017365269461077845	1.1966390807542424	0.2648936199328422	0.41104182403372064	False	-0.09806058529847272	1.3284269678078895
NadigOConner2024_hepg2	STAT5B	UNIFORM	91	4923	215600.0	0.4812575196487445	0.5187424803512555	0.01909310814155128	0.01814918228958915	1.0520092771619571	0.2697367510071481	0.4114628405193785	False	-0.05764381865763296	1.3103087918716227
NadigOConner2024_hepg2	TFDP1	UNIFORM	148	4923	355688.0	0.48817739128525234	0.5118226087147477	0.030017739785817767	0.029185564977322026	1.0285132327964994	0.31177183251330454	0.4676577487699568	False	-0.2596773255417665	1.165483664754464
NadigOConner2024_hepg2	NELFCD	UNIFORM	49	4923	116510.0	0.4829890518059753	0.5170109481940247	0.013801356523474757	0.009855189058728881	1.4004151966268672	0.34076923325103414	0.5027742785670996	False	-0.12394256555626915	1.076549766121548
NadigOConner2024_hepg2	CDK12	UNIFORM	17	4923	39899.0	0.4767418240910014	0.5232581759089987	0.003984396762333791	0.0034412955465587046	1.1578188238781721	0.3700619600786381	0.5371867162431844	False	-0.318763941062836	0.9940848276916777
NadigOConner2024_hepg2	VHL	UNIFORM	25	4923	59504.0	0.4834775543367865	0.5165224456632135	0.005414571962705376	0.0050525464834276475	1.071652082858648	0.3876858530682645	0.5538369329546635	False	-0.1882769379889152	0.9475599243487103
NadigOConner2024_hepg2	LIN52	UNIFORM	32	4923	76741.0	0.4871330997359334	0.5128669002640667	0.007090560217749016	0.006458123107971746	1.0979289337170741	0.4008116198670047	0.5636413404379753	False	0.10479499377800727	0.9142637379475893
NadigOConner2024_hepg2	STAT5A	UNIFORM	29	4923	69670.0	0.48799792669174247	0.5120020733082575	0.005897478392654568	0.0058562197092084005	1.0070452758767388	0.41170877983319376	0.5646694528238034	False	-0.03146724233734428	0.8874390246304301
NadigOConner2024_hepg2	MYB	UNIFORM	39	4923	94064.0	0.48992432173419376	0.5100756782658062	0.00800847785587146	0.007859733978234583	1.0189247979701075	0.4140909320707892	0.5646694528238034	False	0.21006210433022027	0.8816696865916797
