Dataset	TF	correlation_MWU-pvalue	correlation_MWU-adjusted-pvalue	correlation_ROC-AUC	nonzero-rate_MWU-pvalue	nonzero-rate_MWU-adjusted-pvalue	nonzero-rate_ROC-AUC	specificity_MWU-pvalue	specificity_MWU-adjusted-pvalue	specificity_ROC-AUC	uniform_MWU-pvalue	uniform_MWU-adjusted-pvalue	uniform_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
ReplogleWeissman2022_K562_gwps	CDK7	0.4328080519404425	0.7781801337919066	0.5090732426455806	0.5066727369016648	0.787374778840435	0.4991034436544376	0.3753438943015391	0.7802129900556298	0.5170350327081317	0.3766229728544813	0.7737890169555708	0.5168543350116805				
ReplogleWeissman2022_rpe1	CDK7	0.8996515341043714	0.9996128156715236	0.286822045036362	0.0241957930231765	0.0448630328971398	0.8288939513420368	0.0210268687236579	0.0435207282885014	0.8387365285201086	0.0191208733528221	0.0371087512158207	0.8452787756651772	uniform, specificity	0.2040878938364362	0.3781628621086906	
NadigOConner2024_hepg2	CDK9	0.0292732397180162	0.0654796151587205	0.5692022221577371	0.0258773019373077	0.070574459829021	0.5711625702484935	0.0344452517285538	0.1033357551856615	0.5665518831271421	0.0286962953557822	0.0825845435576048	0.5695214235738306	nonzero-rate, uniform	0.7743772315639689	0.871174385509465	
NadigOConner2024_jurkat	CDK9	0.0389092160012166	0.1261325149254137	0.5653503048071938	0.0673557755666798	0.1775859967658445	0.5554298035839769	0.0662503862549679	0.2374520660803649	0.5557460934760396	0.0723742171537983	0.2019633952994577	0.5540422535792326				
ReplogleWeissman2022_K562_essential	CDK9	0.0010950164089897	0.0056315129605184	0.5765900599077379	0.0007392930476382	0.0040661117620105	0.5794824695068919	0.0013455711183733	0.0079699212395962	0.5750349635752604	0.0023446429976397	0.0120358340545505	0.5707008718280557	nonzero-rate, correlation	0.7315967291098371	0.8603066506365463	
ReplogleWeissman2022_K562_gwps	CDK9	0.6884236542331105	0.9405380876978447	0.4917801458860052	0.4664676065702315	0.787374778840435	0.5014077168035603	0.4793452420112026	0.821232903545996	0.5008664769002619	0.52817046576522	0.8289689877573613	0.4988178334401993				
ReplogleWeissman2022_rpe1	CDK9	0.0197291381199853	0.0328818968666422	0.61449419278211	0.0110395089222599	0.0218336954240252	0.6272606611693617	0.0216445786321299	0.0437810795058992	0.6123556308433203	0.0191798039991882	0.0371087512158207	0.6151399800747037	nonzero-rate, uniform	0.2563282345065036	0.4613908221117065	
FrangiehIzar2021_RNA	CDKN1A	0.4906263980432196	0.9542134686286986	0.5002126911397988	0.4700588402913659	0.7201127521071586	0.50067993567487	0.4525384221009005	0.6235623801708813	0.5010793427680792	0.2673991811407138	0.4902318320913087	0.5056179318412481				
NormanWeissman2019_filtered	CDKN1A	0.260941198801691	0.2982185129162182	0.5100707771572923	0.992859320305759	0.999999999509541	0.4614735817866651	0.9906033808642728	0.9906033808642728	0.463053892743651	0.9970843841378212	0.9970843841378212	0.4566459290151069				
FrangiehIzar2021_RNA	CDKN2A	0.0120453153416594	0.0441661562527511	0.5223098003288349	0.019217962432027	0.0528493966880743	0.5204750608564357	0.0138863776443284	0.0509167180292041	0.5217638518576663	0.0002882697955263	0.00090599078594	0.5340472095733007	uniform, correlation	0.3677886549113095	0.4728711277431122	
NormanWeissman2019_filtered	CEBPA	4.180616747178849e-138	3.3444933977430794e-137	0.846118339162434	2.3571085378532507e-115	3.7713736605652e-114	0.8158011099291235	1.2331770442065763e-112	9.86541635365261e-112	0.8119821003007409	1.0989208128452682e-122	8.791366502762144e-122	0.8258777012208315	correlation, uniform	0.0119286716028401	0.0185557113821957	correlation
ReplogleWeissman2022_K562_gwps	CEBPA				0.0548620508908244	0.258870210688737	0.5492485668857712	0.0099465219450295	0.0936630816490278	0.5716930241908463	0.024305875903009	0.1737648515870974	0.560719724890803	specificity, uniform	0.5596446926280862	0.7810987875378399	
