Dataset	TF	CausalPath_MWU-pvalue	CausalPath_MWU-adjusted-pvalue	CausalPath_ROC-AUC	CollecTRI_MWU-pvalue	CollecTRI_MWU-adjusted-pvalue	CollecTRI_ROC-AUC	DoRothEA_MWU-pvalue	DoRothEA_MWU-adjusted-pvalue	DoRothEA_ROC-AUC	Ensemble_MWU-pvalue	Ensemble_MWU-adjusted-pvalue	Ensemble_ROC-AUC	Best3_Top, Second	Best3_DeLongs-pvalue	Best3_DeLongs-adjusted-pvalue	Best3_Winner	Best4_Top, Second	Best4_DeLongs-pvalue	Best4_DeLongs-adjusted-pvalue	Best4_Winner
ReplogleWeissman2022_K562_gwps	ESR1	0.3668755252005263	0.7719967256735721	0.5074312518547592	0.4591184907049103	0.877611946492592	0.5022427891749074	0.0108869474768467	0.2079300237823136	0.5501245440882244	0.1240175594984792	0.6299268000300609	0.5252368635184423								
ReplogleWeissman2022_K562_gwps	ESRRA	1.1367347861868656e-08	8.563402055941054e-07	0.6131320188733538	0.0036138022170207	0.0753708321947107	0.5543655799115196	0.2138825841490893	0.8412247588103643	0.5160500372500404	0.0012625658417783	0.0300137370428019	0.56112830175292	CausalPath, CollecTRI	0.0081597719614857	0.036718973826686	CausalPath	CausalPath, Ensemble	0.0172942849469412	0.1642957069959415	
ReplogleWeissman2022_K562_gwps	ETS1	0.4640892449947144	0.7886027772090635	0.5013941279520586	0.4495628334321642	0.8677503936330341	0.5019606551727439	0.5630662900966341	0.9999995011210674	0.4975447296120083	0.5290947702447737	0.9174275484590948	0.4988710427815165								
NormanWeissman2019_filtered	ETS2	1.2482019580915374e-06	3.3285385549107665e-06	0.5380388220782786	0.0023011914237094	0.0049311244793773	0.5248366408260646	0.6113747764900285	0.7163128554565816	0.4975204830281448	0.0010279806172651	0.0026094892592114	0.527013909537501	CausalPath, CollecTRI	0.1898909065699622	0.4177599944539168		CausalPath, Ensemble	0.2672851917175654	0.8532496674482819	
ReplogleWeissman2022_rpe1	ETV4	0.9943520524284938	0.99999994418258	0.4129341015866512	0.9987988075708418	1.0	0.395682956055795	0.1550303852042598	0.3182202643666387	0.534886705671689	0.7608078525795479	0.9542401438183404	0.4756374927035269								
WesselsSatija2023	FLI1	0.1684270429473859	0.1924880490827268	0.5228793663331578	1.0458535821447857e-06	1.0458535821447855e-05	0.6146765841671055	0.9948710644280736	0.9948710644280736	0.4379607688256977	0.2041828772570728	0.3062743158856092	0.5199885904862209	CollecTRI, CausalPath	0.0002525066278606	0.000757519883582	CollecTRI	CollecTRI, CausalPath	0.0002525066278606	0.000757519883582	CollecTRI
FrangiehIzar2021_RNA	FOS	0.7733435368042292	0.8954504110364759	0.4918131515172877	0.7121293004707961	0.9915694900809894	0.4938905607109399	0.9561864887505492	0.9999911615781432	0.4813528493159957	0.927791097579762	0.999995150201828	0.4840659408525459								
ReplogleWeissman2022_K562_gwps	FOS	0.5132820464001481	0.8227073935208048	0.4995180928767674	0.8668500888802105	0.9861500865045688	0.483912048515714	0.8976560132229865	0.9999995011210674	0.4816444414661931	0.9006139571261651	0.9999973175522412	0.4814020304228372								
ReplogleWeissman2022_K562_gwps	FOSL1	0.0622513144244407	0.2930999387484085	0.5322700267014413	0.3474109505672945	0.8487040402070734	0.5082484443068775	0.0256548568032178	0.3848228520482674	0.5409747462015773	0.018842325745997	0.2386694594492962	0.5436950951391748								
ReplogleWeissman2022_K562_gwps	FOSL2	0.4533253861340958	0.7886027772090635	0.5036313612944918	0.7652643656704647	0.96687792376495	0.4776001096818072	0.5668134739389631	0.9999995011210674	0.4947892668957353	0.5474469919323646	0.9244541169531528	0.4963083291162835								
NormanWeissman2019_filtered	FOXA1	0.9160793558080192	0.9771513128618872	0.4857409288868709	0.9999994000259655	1.0	0.4497981256120876	0.0168220322195331	0.0232920446116613	0.5219630782637378	0.021954626187626	0.04261780377598	0.52083245952841	DoRothEA, CausalPath	0.0106372063084651	0.0292523173482791	DoRothEA	DoRothEA, Ensemble	0.5273252902430551	0.8532496674482819	
ReplogleWeissman2022_K562_gwps	FOXA1	0.7626298058032328	0.9216809417728912	0.4866035002086341	0.2261042149616414	0.7223380964891203	0.5140890464609082	0.4196149108422249	0.9252298752282914	0.5038023760063565	0.4372404169419994	0.8659354185691714	0.5029606883965139								
ReplogleWeissman2022_K562_gwps	FOXA2	0.6735769682627177	0.879855710281378	0.4859078169899602	0.8431926232151227	0.9861500865045688	0.4684306498850964	0.9552419971162688	0.9999995011210674	0.4468044983858316	0.9556042648676548	0.9999973175522412	0.4466837215352535								
FrangiehIzar2021_RNA	FOXM1	0.822075600416857	0.9042831604585428	0.4833681447858809	0.9060703000172704	0.9915694900809894	0.4762774383896537	0.8178128096720387	0.9999911615781432	0.4836607318410361	0.92126405464836	0.999995150201828	0.4745357634799824								
ReplogleWeissman2022_K562_gwps	FOXM1	0.0206953962541513	0.1612813639116623	0.5397543145723807	0.1407905244765872	0.627925739165579	0.520987737050191	0.0593424652469051	0.616248677564015	0.5304126028765846	0.0328746975095559	0.3387765438272883	0.5358664782245832								
