Dataset	TF	z-aggregate_MWU-pvalue	z-aggregate_MWU-adjusted-pvalue	z-aggregate_ROC-AUC	viper_MWU-pvalue	viper_MWU-adjusted-pvalue	viper_ROC-AUC	ulm_MWU-pvalue	ulm_MWU-adjusted-pvalue	ulm_ROC-AUC	zscore_MWU-pvalue	zscore_MWU-adjusted-pvalue	zscore_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
ReplogleWeissman2022_K562_gwps	ATR	2.8132371058139924e-08	1.5894789647849055e-06	0.6822991355625545	1.0734588286502577e-05	0.0003465738503927	0.6426600694375271	4.5912033528372926e-05	0.001152902175268	0.6313186066854901	4.5912033528372926e-05	0.001152902175268	0.6313186066854901	z-aggregate, viper	0.0001168618247301	0.003505854741903	z-aggregate
ReplogleWeissman2022_rpe1	ATR	8.553553366466268e-25	2.537554165384993e-23	0.7381763297654345	5.728527031641368e-20	8.497315096934698e-19	0.7118351172827816	4.646806683696387e-21	5.908082783556835e-20	0.7181301458721379	4.646806683696387e-21	5.908082783556835e-20	0.7181301458721379	z-aggregate, ulm	0.0038572397594275	0.0227148563610735	z-aggregate
SunshineHein2023	BCL2	0.6231399139353179	0.9369211363221422	0.4913637038559941	0.5701434845950804	0.8214738472741585	0.4951343201754387	0.4724100278111352	0.7479825440342974	0.5019074378654971	0.4724100278111352	0.6904454252624284	0.5019074378654971				
TianKampmann2021_CRISPRa	BCL2	0.6557957380799582	0.8743943174399442	0.4898149363433522	0.0436206672161538	0.116321779243077	0.5435227720173251	0.0203315125280646	0.0616475895373496	0.5520934505840661	0.0203315125280646	0.0500349611029456	0.5520934505840661	ulm, zscore	1.0	1.0	
ReplogleWeissman2022_K562_gwps	BCL6	0.2246544733857756	0.6307470147232634	0.5177914619550336	0.2557348066595453	0.603502272722088	0.5154394767311049	0.2662748193298291	0.654109882266754	0.5146767978492687	0.2571582053527989	0.6386566418651929	0.5153355436494536				
NadigOConner2024_hepg2	BRCA1	0.963472919277228	0.9966961233902358	0.4241575583129124	0.9827482473179008	0.9949179113747584	0.4105479706631054	0.9968970003951416	0.999967658746436	0.3842061361996015	0.9956850855122508	0.9998294649312244	0.388873762322749				
NadigOConner2024_jurkat	BRCA1	0.9801345640125816	0.9999999809091804	0.4489868520068553	0.9490302771359256	0.9999999997133712	0.4594303005736672	0.957350336873894	0.9999999984302912	0.4573166288773354	0.9646864653243648	0.99999999998846	0.4551551975076798				
ReplogleWeissman2022_K562_essential	BRCA1	0.3206900356972797	0.6498192828602773	0.5132498301998584	0.460550480488591	0.7387997291171148	0.5028179597971069	0.5364106400960656	0.8523820996295155	0.4974006127256174	0.434724414953602	0.8313085811442766	0.5046758262402635				
ReplogleWeissman2022_K562_gwps	BRCA1	0.578961715783133	0.8534806015070802	0.4958758893946188	0.8761545606243266	0.9816359340726348	0.4760718010573938	0.6718437518357823	0.9241133890000136	0.4907885092191197	0.432989721045419	0.7647139733129406	0.5034934544336139				
ReplogleWeissman2022_rpe1	BRCA1	0.9289139348042426	0.9960643397298504	0.3866893642588026	0.9120951973246888	0.9899569824621623	0.3954888535629796	0.962030329307374	0.9999999999999952	0.3629883215881638	0.923497918866936	0.999999999999992	0.389680940281133				
